问题,选项A,选项B,选项C,分类,提示
讨论月球假期时，哪一个最容易成为多数答案？,看地球升起,在月面露营,参加低重力运动,科技未来,
只能把月球假期的一项带走，你会带走？,参加低重力运动,看地球升起,在月面露营,科技未来,
如果把月球假期拍成电影，片名会是《______》。,,,,科技未来,写下一个具体、第一时间想到的答案
聊到开放世界游戏，你更偏向？,自由探索地图,认真做主线,,游戏电竞,
关于开放世界游戏，如果只能选一个，你会选？,自由探索地图,认真做主线,到处收集物品,游戏电竞,
第一次接触开放世界游戏，大家最可能先选？,到处收集物品,自由探索地图,认真做主线,游戏电竞,
说到开放世界游戏，我还想加一个选项：______。,,,,游戏电竞,写下一个具体、第一时间想到的答案
如果今天就要体验竞技排位赛，你会先选？,和高手正面交锋,稳稳配合队友,,游戏电竞,
给竞技排位赛安排一个优先项，你会选？,和高手正面交锋,稳稳配合队友,研究冷门套路,游戏电竞,
如果为竞技排位赛投票，哪一个最可能获胜？,研究冷门套路,和高手正面交锋,稳稳配合队友,游戏电竞,
如果由我设计竞技排位赛，最不能少的是 ______。,,,,游戏电竞,写下一个具体、第一时间想到的答案
在恐怖游戏这件事上，你更看重？,自己戴耳机玩,和朋友一起玩,,游戏电竞,
如果大家一起体验恐怖游戏，你最想负责哪一项？,自己戴耳机玩,和朋友一起玩,只看别人直播,游戏电竞,
在恐怖游戏的三个选项中，哪个最受欢迎？,只看别人直播,自己戴耳机玩,和朋友一起玩,游戏电竞,
体验恐怖游戏之前，我最想准备 ______。,,,,游戏电竞,写下一个具体、第一时间想到的答案
如果朋友邀请你尝试解谜游戏，你会选？,观察场景细节,疯狂尝试组合,,游戏电竞,
把解谜游戏变成周末活动，你最期待？,观察场景细节,疯狂尝试组合,立刻查攻略,游戏电竞,
朋友临时提出解谜游戏，多数人会答应哪一个？,立刻查攻略,观察场景细节,疯狂尝试组合,游戏电竞,
关于解谜游戏，我第一个想到的是 ______。,,,,游戏电竞,写下一个具体、第一时间想到的答案
关于合作闯关，哪一个更吸引你？,负责指挥,负责操作,,游戏电竞,
讨论合作闯关时，哪一个最容易成为多数答案？,负责指挥,负责操作,负责活跃气氛,游戏电竞,
只能把合作闯关的一项带走，你会带走？,负责活跃气氛,负责指挥,负责操作,游戏电竞,
如果把合作闯关拍成电影，片名会是《______》。,,,,游戏电竞,写下一个具体、第一时间想到的答案
聊到角色养成，你更偏向？,优先提升战斗力,优先收集外观,,游戏电竞,
关于角色养成，如果只能选一个，你会选？,优先提升战斗力,优先收集外观,优先完成角色故事,游戏电竞,
第一次接触角色养成，大家最可能先选？,优先完成角色故事,优先提升战斗力,优先收集外观,游戏电竞,
说到角色养成，我还想加一个选项：______。,,,,游戏电竞,写下一个具体、第一时间想到的答案
如果今天就要体验稀有游戏道具，你会先选？,马上使用,留到最终关,,游戏电竞,
给稀有游戏道具安排一个优先项，你会选？,马上使用,留到最终关,收藏起来不用,游戏电竞,
如果为稀有游戏道具投票，哪一个最可能获胜？,收藏起来不用,马上使用,留到最终关,游戏电竞,
如果由我设计稀有游戏道具，最不能少的是 ______。,,,,游戏电竞,写下一个具体、第一时间想到的答案
在最终头目战这件事上，你更看重？,先研究机制,直接冲上去打,,游戏电竞,
如果大家一起体验最终头目战，你最想负责哪一项？,先研究机制,直接冲上去打,等待队友带飞,游戏电竞,
在最终头目战的三个选项中，哪个最受欢迎？,等待队友带飞,先研究机制,直接冲上去打,游戏电竞,
体验最终头目战之前，我最想准备 ______。,,,,游戏电竞,写下一个具体、第一时间想到的答案
如果朋友邀请你尝试复古街机，你会选？,格斗游戏,赛车游戏,,游戏电竞,
把复古街机变成周末活动，你最期待？,格斗游戏,赛车游戏,音乐节奏游戏,游戏电竞,
朋友临时提出复古街机，多数人会答应哪一个？,音乐节奏游戏,格斗游戏,赛车游戏,游戏电竞,
关于复古街机，我第一个想到的是 ______。,,,,游戏电竞,写下一个具体、第一时间想到的答案
关于游戏直播，哪一个更吸引你？,看技术高手,看搞笑主播,,游戏电竞,
讨论游戏直播时，哪一个最容易成为多数答案？,看技术高手,看搞笑主播,看剧情解说,游戏电竞,
只能把游戏直播的一项带走，你会带走？,看剧情解说,看技术高手,看搞笑主播,游戏电竞,
如果把游戏直播拍成电影，片名会是《______》。,,,,游戏电竞,写下一个具体、第一时间想到的答案
聊到现场看球赛，你更偏向？,坐在最热闹的区域,坐在视野最好的区域,,运动竞技,
关于现场看球赛，如果只能选一个，你会选？,坐在最热闹的区域,坐在视野最好的区域,站着跟全场欢呼,运动竞技,
第一次接触现场看球赛，大家最可能先选？,站着跟全场欢呼,坐在最热闹的区域,坐在视野最好的区域,运动竞技,
说到现场看球赛，我还想加一个选项：______。,,,,运动竞技,写下一个具体、第一时间想到的答案
如果今天就要体验参加马拉松，你会先选？,挑战最好成绩,轻松跑完全程,,运动竞技,
给参加马拉松安排一个优先项，你会选？,挑战最好成绩,轻松跑完全程,穿有趣造型参赛,运动竞技,
如果为参加马拉松投票，哪一个最可能获胜？,穿有趣造型参赛,挑战最好成绩,轻松跑完全程,运动竞技,
如果由我设计参加马拉松，最不能少的是 ______。,,,,运动竞技,写下一个具体、第一时间想到的答案
在篮球最后一攻这件事上，你更看重？,自己投关键球,传给最准的队友,,运动竞技,
如果大家一起体验篮球最后一攻，你最想负责哪一项？,自己投关键球,传给最准的队友,冲进去制造犯规,运动竞技,
在篮球最后一攻的三个选项中，哪个最受欢迎？,冲进去制造犯规,自己投关键球,传给最准的队友,运动竞技,
体验篮球最后一攻之前，我最想准备 ______。,,,,运动竞技,写下一个具体、第一时间想到的答案
如果朋友邀请你尝试足球点球大战，你会选？,第一个主罚,最后一个主罚,,运动竞技,
把足球点球大战变成周末活动，你最期待？,第一个主罚,最后一个主罚,站在旁边加油,运动竞技,
朋友临时提出足球点球大战，多数人会答应哪一个？,站在旁边加油,第一个主罚,最后一个主罚,运动竞技,
关于足球点球大战，我第一个想到的是 ______。,,,,运动竞技,写下一个具体、第一时间想到的答案
关于健身计划，哪一个更吸引你？,每天短时间练,周末集中练,,运动竞技,
讨论健身计划时，哪一个最容易成为多数答案？,每天短时间练,周末集中练,跟朋友一起练,运动竞技,
只能把健身计划的一项带走，你会带走？,跟朋友一起练,每天短时间练,周末集中练,运动竞技,
如果把健身计划拍成电影，片名会是《______》。,,,,运动竞技,写下一个具体、第一时间想到的答案
聊到水上运动，你更偏向？,冲浪,潜水,,运动竞技,
关于水上运动，如果只能选一个，你会选？,冲浪,潜水,划皮艇,运动竞技,
第一次接触水上运动，大家最可能先选？,划皮艇,冲浪,潜水,运动竞技,
说到水上运动，我还想加一个选项：______。,,,,运动竞技,写下一个具体、第一时间想到的答案
如果今天就要体验冬季运动，你会先选？,滑雪,滑冰,,运动竞技,
给冬季运动安排一个优先项，你会选？,滑雪,滑冰,打雪仗,运动竞技,
如果为冬季运动投票，哪一个最可能获胜？,打雪仗,滑雪,滑冰,运动竞技,
如果由我设计冬季运动，最不能少的是 ______。,,,,运动竞技,写下一个具体、第一时间想到的答案
在运动会项目这件事上，你更看重？,百米冲刺,接力赛,,运动竞技,
如果大家一起体验运动会项目，你最想负责哪一项？,百米冲刺,接力赛,拔河,运动竞技,
在运动会项目的三个选项中，哪个最受欢迎？,拔河,百米冲刺,接力赛,运动竞技,
体验运动会项目之前，我最想准备 ______。,,,,运动竞技,写下一个具体、第一时间想到的答案
如果朋友邀请你尝试看奥运比赛，你会选？,田径,游泳,,运动竞技,
把看奥运比赛变成周末活动，你最期待？,田径,游泳,球类比赛,运动竞技,
朋友临时提出看奥运比赛，多数人会答应哪一个？,球类比赛,田径,游泳,运动竞技,
关于看奥运比赛，我第一个想到的是 ______。,,,,运动竞技,写下一个具体、第一时间想到的答案
关于成为职业选手，哪一个更吸引你？,个人项目,团队项目,,运动竞技,
讨论成为职业选手时，哪一个最容易成为多数答案？,个人项目,团队项目,极限运动,运动竞技,
只能把成为职业选手的一项带走，你会带走？,极限运动,个人项目,团队项目,运动竞技,
如果把成为职业选手拍成电影，片名会是《______》。,,,,运动竞技,写下一个具体、第一时间想到的答案
聊到演唱会开场，你更偏向？,直接唱最红的歌,先唱最新的歌,,音乐,
关于演唱会开场，如果只能选一个，你会选？,直接唱最红的歌,先唱最新的歌,用慢歌暖场,音乐,
第一次接触演唱会开场，大家最可能先选？,用慢歌暖场,直接唱最红的歌,先唱最新的歌,音乐,
说到演唱会开场，我还想加一个选项：______。,,,,音乐,写下一个具体、第一时间想到的答案
如果今天就要体验组一支乐队，你会先选？,担任主唱,负责乐器,,音乐,
给组一支乐队安排一个优先项，你会选？,担任主唱,负责乐器,负责创作,音乐,
如果为组一支乐队投票，哪一个最可能获胜？,负责创作,担任主唱,负责乐器,音乐,
如果由我设计组一支乐队，最不能少的是 ______。,,,,音乐,写下一个具体、第一时间想到的答案
在通勤歌单这件事上，你更看重？,节奏强的歌,安静的歌,,音乐,
如果大家一起体验通勤歌单，你最想负责哪一项？,节奏强的歌,安静的歌,随机播放全部收藏,音乐,
在通勤歌单的三个选项中，哪个最受欢迎？,随机播放全部收藏,节奏强的歌,安静的歌,音乐,
体验通勤歌单之前，我最想准备 ______。,,,,音乐,写下一个具体、第一时间想到的答案
如果朋友邀请你尝试KTV最后一首歌，你会选？,全场大合唱,唱自己的拿手歌,,音乐,
把KTV最后一首歌变成周末活动，你最期待？,全场大合唱,唱自己的拿手歌,点一首告别歌曲,音乐,
朋友临时提出KTV最后一首歌，多数人会答应哪一个？,点一首告别歌曲,全场大合唱,唱自己的拿手歌,音乐,
关于KTV最后一首歌，我第一个想到的是 ______。,,,,音乐,写下一个具体、第一时间想到的答案
关于学习一种乐器，哪一个更吸引你？,吉他,钢琴,,音乐,
讨论学习一种乐器时，哪一个最容易成为多数答案？,吉他,钢琴,架子鼓,音乐,
只能把学习一种乐器的一项带走，你会带走？,架子鼓,吉他,钢琴,音乐,
如果把学习一种乐器拍成电影，片名会是《______》。,,,,音乐,写下一个具体、第一时间想到的答案
聊到音乐节体验，你更偏向？,挤到舞台前排,在后面轻松听,,音乐,
关于音乐节体验，如果只能选一个，你会选？,挤到舞台前排,在后面轻松听,不断换舞台看演出,音乐,
第一次接触音乐节体验，大家最可能先选？,不断换舞台看演出,挤到舞台前排,在后面轻松听,音乐,
说到音乐节体验，我还想加一个选项：______。,,,,音乐,写下一个具体、第一时间想到的答案
如果今天就要体验电影配乐，你会先选？,气势恢宏的,温柔感人的,,音乐,
给电影配乐安排一个优先项，你会选？,气势恢宏的,温柔感人的,紧张悬疑的,音乐,
如果为电影配乐投票，哪一个最可能获胜？,紧张悬疑的,气势恢宏的,温柔感人的,音乐,
如果由我设计电影配乐，最不能少的是 ______。,,,,音乐,写下一个具体、第一时间想到的答案
在睡前声音这件事上，你更看重？,轻音乐,白噪音,,音乐,
如果大家一起体验睡前声音，你最想负责哪一项？,轻音乐,白噪音,播客聊天,音乐,
在睡前声音的三个选项中，哪个最受欢迎？,播客聊天,轻音乐,白噪音,音乐,
体验睡前声音之前，我最想准备 ______。,,,,音乐,写下一个具体、第一时间想到的答案
如果朋友邀请你尝试偶像突然来到你家，你会选？,请他现场唱歌,一起吃饭聊天,,音乐,
把偶像突然来到你家变成周末活动，你最期待？,请他现场唱歌,一起吃饭聊天,拍一张合照,音乐,
朋友临时提出偶像突然来到你家，多数人会答应哪一个？,拍一张合照,请他现场唱歌,一起吃饭聊天,音乐,
关于偶像突然来到你家，我第一个想到的是 ______。,,,,音乐,写下一个具体、第一时间想到的答案
关于只能保留一种音乐，哪一个更吸引你？,流行音乐,摇滚音乐,,音乐,
讨论只能保留一种音乐时，哪一个最容易成为多数答案？,流行音乐,摇滚音乐,古典音乐,音乐,
只能把只能保留一种音乐的一项带走，你会带走？,古典音乐,流行音乐,摇滚音乐,音乐,
如果把只能保留一种音乐拍成电影，片名会是《______》。,,,,音乐,写下一个具体、第一时间想到的答案
聊到朋友临时取消约会，你更偏向？,马上改约下次,自己照常出门,,社交友情,
关于朋友临时取消约会，如果只能选一个，你会选？,马上改约下次,自己照常出门,回家享受独处,社交友情,
第一次接触朋友临时取消约会，大家最可能先选？,回家享受独处,马上改约下次,自己照常出门,社交友情,
说到朋友临时取消约会，我还想加一个选项：______。,,,,社交友情,写下一个具体、第一时间想到的答案
如果今天就要体验群聊突然冷场，你会先选？,主动换个话题,发一张表情包,,社交友情,
给群聊突然冷场安排一个优先项，你会选？,主动换个话题,发一张表情包,安静等待别人,社交友情,
如果为群聊突然冷场投票，哪一个最可能获胜？,安静等待别人,主动换个话题,发一张表情包,社交友情,
如果由我设计群聊突然冷场，最不能少的是 ______。,,,,社交友情,写下一个具体、第一时间想到的答案
在朋友遇到烦恼这件事上，你更看重？,认真听他说,帮他分析办法,,社交友情,
如果大家一起体验朋友遇到烦恼，你最想负责哪一项？,认真听他说,帮他分析办法,带他去吃好吃的,社交友情,
在朋友遇到烦恼的三个选项中，哪个最受欢迎？,带他去吃好吃的,认真听他说,帮他分析办法,社交友情,
体验朋友遇到烦恼之前，我最想准备 ______。,,,,社交友情,写下一个具体、第一时间想到的答案
如果朋友邀请你尝试聚会来了陌生人，你会选？,主动打招呼,等朋友介绍,,社交友情,
把聚会来了陌生人变成周末活动，你最期待？,主动打招呼,等朋友介绍,先观察一会儿,社交友情,
朋友临时提出聚会来了陌生人，多数人会答应哪一个？,先观察一会儿,主动打招呼,等朋友介绍,社交友情,
关于聚会来了陌生人，我第一个想到的是 ______。,,,,社交友情,写下一个具体、第一时间想到的答案
关于朋友借东西忘了还，哪一个更吸引你？,直接提醒,开玩笑暗示,,社交友情,
讨论朋友借东西忘了还时，哪一个最容易成为多数答案？,直接提醒,开玩笑暗示,等他自己想起,社交友情,
只能把朋友借东西忘了还的一项带走，你会带走？,等他自己想起,直接提醒,开玩笑暗示,社交友情,
如果把朋友借东西忘了还拍成电影，片名会是《______》。,,,,社交友情,写下一个具体、第一时间想到的答案
聊到共同旅行分工，你更偏向？,负责规划行程,负责找餐厅,,社交友情,
关于共同旅行分工，如果只能选一个，你会选？,负责规划行程,负责找餐厅,负责拍照记录,社交友情,
第一次接触共同旅行分工，大家最可能先选？,负责拍照记录,负责规划行程,负责找餐厅,社交友情,
说到共同旅行分工，我还想加一个选项：______。,,,,社交友情,写下一个具体、第一时间想到的答案
如果今天就要体验生日惊喜，你会先选？,秘密派对,手写长信,,社交友情,
给生日惊喜安排一个优先项，你会选？,秘密派对,手写长信,突然出现的礼物,社交友情,
如果为生日惊喜投票，哪一个最可能获胜？,突然出现的礼物,秘密派对,手写长信,社交友情,
如果由我设计生日惊喜，最不能少的是 ______。,,,,社交友情,写下一个具体、第一时间想到的答案
在朋友意见相反这件事上，你更看重？,继续讲道理,先找共同点,,社交友情,
如果大家一起体验朋友意见相反，你最想负责哪一项？,继续讲道理,先找共同点,换个话题,社交友情,
在朋友意见相反的三个选项中，哪个最受欢迎？,换个话题,继续讲道理,先找共同点,社交友情,
体验朋友意见相反之前，我最想准备 ______。,,,,社交友情,写下一个具体、第一时间想到的答案
如果朋友邀请你尝试多年好友重逢，你会选？,聊以前的故事,聊现在的生活,,社交友情,
把多年好友重逢变成周末活动，你最期待？,聊以前的故事,聊现在的生活,立刻安排一次旅行,社交友情,
朋友临时提出多年好友重逢，多数人会答应哪一个？,立刻安排一次旅行,聊以前的故事,聊现在的生活,社交友情,
关于多年好友重逢，我第一个想到的是 ______。,,,,社交友情,写下一个具体、第一时间想到的答案
关于认识新朋友，哪一个更吸引你？,从兴趣开始聊,从工作学习开始聊,,社交友情,
讨论认识新朋友时，哪一个最容易成为多数答案？,从兴趣开始聊,从工作学习开始聊,从美食开始聊,社交友情,
只能把认识新朋友的一项带走，你会带走？,从美食开始聊,从兴趣开始聊,从工作学习开始聊,社交友情,
如果把认识新朋友拍成电影，片名会是《______》。,,,,社交友情,写下一个具体、第一时间想到的答案
聊到第一次约会，你更偏向？,一起吃饭,散步聊天,,恋爱关系,
关于第一次约会，如果只能选一个，你会选？,一起吃饭,散步聊天,去看展览,恋爱关系,
第一次接触第一次约会，大家最可能先选？,去看展览,一起吃饭,散步聊天,恋爱关系,
说到第一次约会，我还想加一个选项：______。,,,,恋爱关系,写下一个具体、第一时间想到的答案
如果今天就要体验纪念日安排，你会先选？,重走熟悉地点,尝试全新活动,,恋爱关系,
给纪念日安排安排一个优先项，你会选？,重走熟悉地点,尝试全新活动,在家认真做顿饭,恋爱关系,
如果为纪念日安排投票，哪一个最可能获胜？,在家认真做顿饭,重走熟悉地点,尝试全新活动,恋爱关系,
如果由我设计纪念日安排，最不能少的是 ______。,,,,恋爱关系,写下一个具体、第一时间想到的答案
在收到对方礼物这件事上，你更看重？,实用的东西,亲手做的东西,,恋爱关系,
如果大家一起体验收到对方礼物，你最想负责哪一项？,实用的东西,亲手做的东西,一起体验的行程,恋爱关系,
在收到对方礼物的三个选项中，哪个最受欢迎？,一起体验的行程,实用的东西,亲手做的东西,恋爱关系,
体验收到对方礼物之前，我最想准备 ______。,,,,恋爱关系,写下一个具体、第一时间想到的答案
如果朋友邀请你尝试两个人发生争执，你会选？,当场说清楚,冷静后再谈,,恋爱关系,
把两个人发生争执变成周末活动，你最期待？,当场说清楚,冷静后再谈,先用美食和解,恋爱关系,
朋友临时提出两个人发生争执，多数人会答应哪一个？,先用美食和解,当场说清楚,冷静后再谈,恋爱关系,
关于两个人发生争执，我第一个想到的是 ______。,,,,恋爱关系,写下一个具体、第一时间想到的答案
关于异地相处，哪一个更吸引你？,每天视频,固定周末见面,,恋爱关系,
讨论异地相处时，哪一个最容易成为多数答案？,每天视频,固定周末见面,随时分享生活小事,恋爱关系,
只能把异地相处的一项带走，你会带走？,随时分享生活小事,每天视频,固定周末见面,恋爱关系,
如果把异地相处拍成电影，片名会是《______》。,,,,恋爱关系,写下一个具体、第一时间想到的答案
聊到公开恋情，你更偏向？,马上告诉朋友,稳定后再说,,恋爱关系,
关于公开恋情，如果只能选一个，你会选？,马上告诉朋友,稳定后再说,一直保持低调,恋爱关系,
第一次接触公开恋情，大家最可能先选？,一直保持低调,马上告诉朋友,稳定后再说,恋爱关系,
说到公开恋情，我还想加一个选项：______。,,,,恋爱关系,写下一个具体、第一时间想到的答案
如果今天就要体验情侣旅行，你会先选？,详细规划,随走随停,,恋爱关系,
给情侣旅行安排一个优先项，你会选？,详细规划,随走随停,一人一天做决定,恋爱关系,
如果为情侣旅行投票，哪一个最可能获胜？,一人一天做决定,详细规划,随走随停,恋爱关系,
如果由我设计情侣旅行，最不能少的是 ______。,,,,恋爱关系,写下一个具体、第一时间想到的答案
在浪漫表达这件事上，你更看重？,直接说出来,用行动表现,,恋爱关系,
如果大家一起体验浪漫表达，你最想负责哪一项？,直接说出来,用行动表现,准备意外惊喜,恋爱关系,
在浪漫表达的三个选项中，哪个最受欢迎？,准备意外惊喜,直接说出来,用行动表现,恋爱关系,
体验浪漫表达之前，我最想准备 ______。,,,,恋爱关系,写下一个具体、第一时间想到的答案
如果朋友邀请你尝试共同生活，你会选？,一起做家务,明确分工,,恋爱关系,
把共同生活变成周末活动，你最期待？,一起做家务,明确分工,谁有空谁来做,恋爱关系,
朋友临时提出共同生活，多数人会答应哪一个？,谁有空谁来做,一起做家务,明确分工,恋爱关系,
关于共同生活，我第一个想到的是 ______。,,,,恋爱关系,写下一个具体、第一时间想到的答案
关于理想伴侣特质，哪一个更吸引你？,幽默有趣,可靠稳重,,恋爱关系,
讨论理想伴侣特质时，哪一个最容易成为多数答案？,幽默有趣,可靠稳重,温柔体贴,恋爱关系,
只能把理想伴侣特质的一项带走，你会带走？,温柔体贴,幽默有趣,可靠稳重,恋爱关系,
如果把理想伴侣特质拍成电影，片名会是《______》。,,,,恋爱关系,写下一个具体、第一时间想到的答案
聊到穿越到古代城市，你更偏向？,先逛热闹市集,先看宫殿建筑,,历史文化,
关于穿越到古代城市，如果只能选一个，你会选？,先逛热闹市集,先看宫殿建筑,先找当地美食,历史文化,
第一次接触穿越到古代城市，大家最可能先选？,先找当地美食,先逛热闹市集,先看宫殿建筑,历史文化,
说到穿越到古代城市，我还想加一个选项：______。,,,,历史文化,写下一个具体、第一时间想到的答案
如果今天就要体验参观博物馆，你会先选？,先看镇馆之宝,先看互动展区,,历史文化,
给参观博物馆安排一个优先项，你会选？,先看镇馆之宝,先看互动展区,跟着讲解慢慢看,历史文化,
如果为参观博物馆投票，哪一个最可能获胜？,跟着讲解慢慢看,先看镇馆之宝,先看互动展区,历史文化,
如果由我设计参观博物馆，最不能少的是 ______。,,,,历史文化,写下一个具体、第一时间想到的答案
在体验传统节日这件事上，你更看重？,参加仪式,品尝节日食物,,历史文化,
如果大家一起体验体验传统节日，你最想负责哪一项？,参加仪式,品尝节日食物,学习传统手艺,历史文化,
在体验传统节日的三个选项中，哪个最受欢迎？,学习传统手艺,参加仪式,品尝节日食物,历史文化,
体验体验传统节日之前，我最想准备 ______。,,,,历史文化,写下一个具体、第一时间想到的答案
如果朋友邀请你尝试和历史人物见面，你会选？,问他重大决定,聊日常生活,,历史文化,
把和历史人物见面变成周末活动，你最期待？,问他重大决定,聊日常生活,带他看看现代世界,历史文化,
朋友临时提出和历史人物见面，多数人会答应哪一个？,带他看看现代世界,问他重大决定,聊日常生活,历史文化,
关于和历史人物见面，我第一个想到的是 ______。,,,,历史文化,写下一个具体、第一时间想到的答案
关于古代交通工具，哪一个更吸引你？,骑马,坐马车,,历史文化,
讨论古代交通工具时，哪一个最容易成为多数答案？,骑马,坐马车,乘帆船,历史文化,
只能把古代交通工具的一项带走，你会带走？,乘帆船,骑马,坐马车,历史文化,
如果把古代交通工具拍成电影，片名会是《______》。,,,,历史文化,写下一个具体、第一时间想到的答案
聊到传统艺术，你更偏向？,书法,戏曲,,历史文化,
关于传统艺术，如果只能选一个，你会选？,书法,戏曲,陶艺,历史文化,
第一次接触传统艺术，大家最可能先选？,陶艺,书法,戏曲,历史文化,
说到传统艺术，我还想加一个选项：______。,,,,历史文化,写下一个具体、第一时间想到的答案
如果今天就要体验修复一座古建筑，你会先选？,保持原貌,加入现代设施,,历史文化,
给修复一座古建筑安排一个优先项，你会选？,保持原貌,加入现代设施,改造成公共空间,历史文化,
如果为修复一座古建筑投票，哪一个最可能获胜？,改造成公共空间,保持原貌,加入现代设施,历史文化,
如果由我设计修复一座古建筑，最不能少的是 ______。,,,,历史文化,写下一个具体、第一时间想到的答案
在研究一段历史这件事上，你更看重？,看当事人书信,看城市地图,,历史文化,
如果大家一起体验研究一段历史，你最想负责哪一项？,看当事人书信,看城市地图,看普通人的生活记录,历史文化,
在研究一段历史的三个选项中，哪个最受欢迎？,看普通人的生活记录,看当事人书信,看城市地图,历史文化,
体验研究一段历史之前，我最想准备 ______。,,,,历史文化,写下一个具体、第一时间想到的答案
如果朋友邀请你尝试参加古代宴会，你会选？,坐在主人旁边,坐在乐师旁边,,历史文化,
把参加古代宴会变成周末活动，你最期待？,坐在主人旁边,坐在乐师旁边,坐在厨师旁边,历史文化,
朋友临时提出参加古代宴会，多数人会答应哪一个？,坐在厨师旁边,坐在主人旁边,坐在乐师旁边,历史文化,
关于参加古代宴会，我第一个想到的是 ______。,,,,历史文化,写下一个具体、第一时间想到的答案
关于收藏一件老物件，哪一个更吸引你？,旧相机,老唱片,,历史文化,
讨论收藏一件老物件时，哪一个最容易成为多数答案？,旧相机,老唱片,手写信,历史文化,
只能把收藏一件老物件的一项带走，你会带走？,手写信,旧相机,老唱片,历史文化,
如果把收藏一件老物件拍成电影，片名会是《______》。,,,,历史文化,写下一个具体、第一时间想到的答案
聊到在森林里露营，你更偏向？,靠近河边,靠近大树,,动物自然,
关于在森林里露营，如果只能选一个，你会选？,靠近河边,靠近大树,靠近开阔草地,动物自然,
第一次接触在森林里露营，大家最可能先选？,靠近开阔草地,靠近河边,靠近大树,动物自然,
说到在森林里露营，我还想加一个选项：______。,,,,动物自然,写下一个具体、第一时间想到的答案
如果今天就要体验观察野生动物，你会先选？,远距离望远镜,隐藏起来等待,,动物自然,
给观察野生动物安排一个优先项，你会选？,远距离望远镜,隐藏起来等待,跟着专业向导,动物自然,
如果为观察野生动物投票，哪一个最可能获胜？,跟着专业向导,远距离望远镜,隐藏起来等待,动物自然,
如果由我设计观察野生动物，最不能少的是 ______。,,,,动物自然,写下一个具体、第一时间想到的答案
在拥有会说话的宠物这件事上，你更看重？,听它吐槽主人,问它每天在想什么,,动物自然,
如果大家一起体验拥有会说话的宠物，你最想负责哪一项？,听它吐槽主人,问它每天在想什么,让它帮忙交朋友,动物自然,
在拥有会说话的宠物的三个选项中，哪个最受欢迎？,让它帮忙交朋友,听它吐槽主人,问它每天在想什么,动物自然,
体验拥有会说话的宠物之前，我最想准备 ______。,,,,动物自然,写下一个具体、第一时间想到的答案
如果朋友邀请你尝试海洋探险，你会选？,看珊瑚礁,追踪鲸鱼,,动物自然,
把海洋探险变成周末活动，你最期待？,看珊瑚礁,追踪鲸鱼,探索沉船,动物自然,
朋友临时提出海洋探险，多数人会答应哪一个？,探索沉船,看珊瑚礁,追踪鲸鱼,动物自然,
关于海洋探险，我第一个想到的是 ______。,,,,动物自然,写下一个具体、第一时间想到的答案
关于住在动物园一天，哪一个更吸引你？,照顾大象,给企鹅喂食,,动物自然,
讨论住在动物园一天时，哪一个最容易成为多数答案？,照顾大象,给企鹅喂食,陪猴子玩,动物自然,
只能把住在动物园一天的一项带走，你会带走？,陪猴子玩,照顾大象,给企鹅喂食,动物自然,
如果把住在动物园一天拍成电影，片名会是《______》。,,,,动物自然,写下一个具体、第一时间想到的答案
聊到遇到突然下雪，你更偏向？,堆雪人,拍雪景,,动物自然,
关于遇到突然下雪，如果只能选一个，你会选？,堆雪人,拍雪景,躲进屋里喝热饮,动物自然,
第一次接触遇到突然下雪，大家最可能先选？,躲进屋里喝热饮,堆雪人,拍雪景,动物自然,
说到遇到突然下雪，我还想加一个选项：______。,,,,动物自然,写下一个具体、第一时间想到的答案
如果今天就要体验种一个小花园，你会先选？,种可以吃的菜,种香味植物,,动物自然,
给种一个小花园安排一个优先项，你会选？,种可以吃的菜,种香味植物,种颜色丰富的花,动物自然,
如果为种一个小花园投票，哪一个最可能获胜？,种颜色丰富的花,种可以吃的菜,种香味植物,动物自然,
如果由我设计种一个小花园，最不能少的是 ______。,,,,动物自然,写下一个具体、第一时间想到的答案
在保护一种环境这件事上，你更看重？,热带雨林,极地冰川,,动物自然,
如果大家一起体验保护一种环境，你最想负责哪一项？,热带雨林,极地冰川,海洋生态,动物自然,
在保护一种环境的三个选项中，哪个最受欢迎？,海洋生态,热带雨林,极地冰川,动物自然,
体验保护一种环境之前，我最想准备 ______。,,,,动物自然,写下一个具体、第一时间想到的答案
如果朋友邀请你尝试成为一种鸟，你会选？,飞得最高的,唱歌最好听的,,动物自然,
把成为一种鸟变成周末活动，你最期待？,飞得最高的,唱歌最好听的,迁徙最远的,动物自然,
朋友临时提出成为一种鸟，多数人会答应哪一个？,迁徙最远的,飞得最高的,唱歌最好听的,动物自然,
关于成为一种鸟，我第一个想到的是 ______。,,,,动物自然,写下一个具体、第一时间想到的答案
关于看一场自然奇观，哪一个更吸引你？,极光,流星雨,,动物自然,
讨论看一场自然奇观时，哪一个最容易成为多数答案？,极光,流星雨,火山喷发,动物自然,
只能把看一场自然奇观的一项带走，你会带走？,火山喷发,极光,流星雨,动物自然,
如果把看一场自然奇观拍成电影，片名会是《______》。,,,,动物自然,写下一个具体、第一时间想到的答案
聊到小组报告分工，你更偏向？,负责上台讲,负责做幻灯片,,职场校园,
关于小组报告分工，如果只能选一个，你会选？,负责上台讲,负责做幻灯片,负责搜集资料,职场校园,
第一次接触小组报告分工，大家最可能先选？,负责搜集资料,负责上台讲,负责做幻灯片,职场校园,
